Date,Universe,Strategy,Cost_bps,Ret_gross,Cost,Ret_net
2015-07-31,A,EqualWeight_LongShort,0,-0.0008761381613626,0.0,-0.0008761381613626
2015-08-31,A,EqualWeight_LongShort,0,-0.0092337015881437,0.0,-0.0092337015881437
2015-09-30,A,EqualWeight_LongShort,0,-0.0039304898656512,0.0,-0.0039304898656512
2015-10-31,A,EqualWeight_LongShort,0,-0.0049100766760261,0.0,-0.0049100766760261
2015-11-30,A,EqualWeight_LongShort,0,0.0111535299455759,0.0,0.0111535299455759
2015-12-31,A,EqualWeight_LongShort,0,0.0008858847857556,0.0,0.0008858847857556
2016-01-31,A,EqualWeight_LongShort,0,-0.0050800872159167,0.0,-0.0050800872159167
2016-02-29,A,EqualWeight_LongShort,0,-0.0018334627048157,0.0,-0.0018334627048157
2016-03-31,A,EqualWeight_LongShort,0,-0.0101624017248352,0.0,-0.0101624017248352
2016-04-30,A,EqualWeight_LongShort,0,-0.003987309932611,0.0,-0.003987309932611
2016-05-31,A,EqualWeight_LongShort,0,0.0085941523030418,0.0,0.0085941523030418
2016-06-30,A,EqualWeight_LongShort,0,-0.0069247446231756,0.0,-0.0069247446231756
2016-07-31,A,EqualWeight_LongShort,0,0.0043607721163148,0.0,0.0043607721163148
2016-08-31,A,EqualWeight_LongShort,0,0.0016127739136657,0.0,0.0016127739136657
2016-09-30,A,EqualWeight_LongShort,0,-0.0062362867012399,0.0,-0.0062362867012399
2016-10-31,A,EqualWeight_LongShort,0,-0.016245516417897,0.0,-0.016245516417897
2016-11-30,A,EqualWeight_LongShort,0,-0.0060137975477936,0.0,-0.0060137975477936
2016-12-31,A,EqualWeight_LongShort,0,-0.0047388885855272,0.0,-0.0047388885855272
2017-01-31,A,EqualWeight_LongShort,0,0.0065810382028725,0.0,0.0065810382028725
2017-02-28,A,EqualWeight_LongShort,0,0.0096458805215431,0.0,0.0096458805215431
2017-03-31,A,EqualWeight_LongShort,0,0.0068506682737988,0.0,0.0068506682737988
2017-04-30,A,EqualWeight_LongShort,0,0.0147422032730538,0.0,0.0147422032730538
2017-05-31,A,EqualWeight_LongShort,0,-0.0093834480450728,0.0,-0.0093834480450728
2017-06-30,A,EqualWeight_LongShort,0,0.0017805968599041,0.0,0.0017805968599041
2017-07-31,A,EqualWeight_LongShort,0,0.0107295594881694,0.0,0.0107295594881694
2017-08-31,A,EqualWeight_LongShort,0,-0.0070330691561361,0.0,-0.0070330691561361
2017-09-30,A,EqualWeight_LongShort,0,0.0050178186882169,0.0,0.0050178186882169
2017-10-31,A,EqualWeight_LongShort,0,-0.0033614185471322,0.0,-0.0033614185471322
2017-11-30,A,EqualWeight_LongShort,0,-0.0001276823877376,0.0,-0.0001276823877376
2017-12-31,A,EqualWeight_LongShort,0,0.016831792643591,0.0,0.016831792643591
2018-01-31,A,EqualWeight_LongShort,0,0.0113070835190516,0.0,0.0113070835190516
