Date,Universe,Strategy,Ret
2015-05-31,A,ML_RF_longshort_0bps,-0.0012738321591698276
2015-06-30,A,ML_RF_longshort_0bps,-0.008268659370368357
2015-07-31,A,ML_RF_longshort_0bps,-0.003477300393283075
2015-08-31,A,ML_RF_longshort_0bps,-0.004450412004578594
2015-09-30,A,ML_RF_longshort_0bps,0.0019086649580194858
2015-10-31,A,ML_RF_longshort_0bps,-0.0010212162575282257
2015-11-30,A,ML_RF_longshort_0bps,0.011857893691932214
2015-12-31,A,ML_RF_longshort_0bps,0.001253205203857302
2016-01-31,A,ML_RF_longshort_0bps,-0.002598148664658519
2016-02-29,A,ML_RF_longshort_0bps,0.0011480387329598314
